date,state,city,level,lat,lng,cases,pop2019,ibgeCode,casesPer100k,deaths,deathRate
2020-03-13,SP,Santana de Parnaíba,city,-23.44651985168457,-46.91873168945313,1,139447.0,3547304.0,0.71712,0.0,0.0
2020-03-13,SP,São Paulo,city,-23.56287002563477,-46.65467834472656,44,12252023.0,3550308.0,0.35912,0.0,0.0
2020-03-14,AL,0,state,-9.662039756774902,-35.73516082763672,1,3337357.0,27.0,0.029960000000000007,0.0,0.0
2020-03-14,AM,0,state,-3.122299909591675,-60.01462173461914,1,4144597.0,13.0,0.024130000000000002,0.0,0.0
2020-03-14,BA,0,state,-12.972900390625,-38.50123977661133,7,14873064.0,29.0,0.047060000000000005,0.0,0.0
2020-03-14,DF,0,state,-15.792110443115234,-47.89775085449219,8,3015268.0,53.0,0.26532,0.0,0.0
2020-03-14,ES,0,state,-20.30677032470703,-40.30622863769531,4,4018650.0,32.0,0.09954,0.0,0.0
2020-03-14,GO,0,state,-16.690370559692386,-49.25838088989258,4,7018354.0,52.0,0.05699,0.0,0.0
2020-03-14,MG,0,state,-19.91864013671875,-43.935691833496094,4,21168791.0,31.0,0.0189,0.0,0.0
2020-03-14,MS,0,state,-20.45149040222168,-54.61611938476562,2,2778986.0,50.0,0.07197,0.0,0.0
2020-03-14,PB,0,state,-7.130489826202393,-34.8673095703125,0,4018127.0,25.0,0.0,0.0,0.0
2020-03-14,PE,0,state,-8.085169792175293,-34.91463851928711,7,9557071.0,26.0,0.07324,0.0,0.0
2020-03-14,PR,0,state,-25.430479049682607,-49.28451156616211,6,11433957.0,41.0,0.05248,0.0,0.0
2020-03-14,RJ,0,state,-22.90880012512207,-43.196739196777344,15,17264943.0,33.0,0.08688,0.0,0.0
2020-03-14,RN,0,state,-5.805920124053955,-35.21054077148437,1,3506853.0,24.0,0.02852,0.0,0.0
2020-03-14,RS,0,state,-30.03952980041504,-51.2169303894043,4,11377239.0,43.0,0.035160000000000004,0.0,0.0
2020-03-14,SC,0,state,-27.59984016418457,-48.54182052612305,5,7164788.0,42.0,0.06978999999999999,0.0,0.0
2020-03-14,SE,0,state,-10.910599708557127,-37.05989837646485,1,2298696.0,28.0,0.0435,0.0,0.0
2020-03-14,SP,0,state,-23.53396987915039,-46.628868103027344,65,45919049.0,35.0,0.14155,0.0,0.0
2020-03-14,SE,Aracaju,city,-10.909210205078123,-37.07445907592773,1,657013.0,2800308.0,0.1522,0.0,0.0
2020-03-14,RJ,Barra Mansa,city,-22.54132080078125,-44.169090270996094,1,184412.0,3300407.0,0.5422600000000001,0.0,0.0
2020-03-14,DF,Brasília,city,-15.778429985046387,-47.92864990234375,8,3015268.0,5300108.0,0.26532,0.0,0.0
2020-03-14,RS,Campo Bom,city,-29.58502960205078,-51.08980941772461,1,66712.0,4303905.0,1.49898,0.0,0.0
2020-03-14,MS,Campo Grande,city,-20.45630073547364,-54.61532974243164,2,895982.0,5002704.0,0.22321999999999997,0.0,0.0
2020-03-14,SP,Carapicuíba,city,-23.52511978149414,-46.83568954467773,1,400927.0,3510609.0,0.24941999999999998,0.0,0.0
2020-03-14,RS,Caxias do Sul,city,-29.16781997680664,-51.17895889282226,1,510906.0,4305108.0,0.19573,0.0,0.0
2020-03-14,PR,Cianorte,city,-23.66323089599609,-52.60538864135742,1,82620.0,4105508.0,1.21036,0.0,0.0
2020-03-14,PR,Curitiba,city,-25.439979553222656,-49.27653884887695,5,1933105.0,4106902.0,0.25865,0.0,0.0
2020-03-14,MG,Divinópolis,city,-20.1389102935791,-44.887290954589844,1,238230.0,3122306.0,0.41976,0.0,0.0
2020-03-14,BA,Feira de Santana,city,-12.25551986694336,-38.95991897583008,4,614872.0,2910800.0,0.65054,0.0,0.0
2020-03-14,SP,Ferraz de Vasconcelos,city,-23.54303932189941,-46.37017822265625,1,194276.0,3515707.0,0.51473,0.0,0.0
2020-03-14,SC,Florianópolis,city,-27.59758949279785,-48.54798889160156,2,500973.0,4205407.0,0.39921999999999996,0.0,0.0
2020-03-14,GO,Goiânia,city,-16.679309844970707,-49.25645065307617,3,1516113.0,5208707.0,0.19787000000000002,0.0,0.0
2020-03-14,MG,Ipatinga,city,-19.466920852661133,-42.536399841308594,1,263410.0,3131307.0,0.37964000000000003,0.0,0.0
2020-03-14,SC,Joinville,city,-26.304880142211914,-48.84621047973633,1,590466.0,4209102.0,0.16935999999999998,0.0,0.0
2020-03-14,MG,Juiz de Fora,city,-21.765350341796875,-43.34869003295898,1,568873.0,3136702.0,0.17579,0.0,0.0
